"REGION";"CD_REF";"PR";"PR_det";"LRR";"LRR_det";"LRR_N";"LRR_N_det";"LRR_H";"LRR_H_det";"LRR_P";"LRR_P_det";"ZNIEFF";"ZNIEFF_det"
"Alsace";"9562";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"10502";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"10530";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"10979";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"12336";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"18432";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"18437";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"18874";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23121";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23130";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23132";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23177";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23181";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23185";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23186";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23187";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23203";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23212";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23226";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23232";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23233";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23235";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23236";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23242";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23664";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23668";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23669";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23671";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23672";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23675";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23683";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23686";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23689";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23690";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23918";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23924";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23926";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23932";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23939";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23940";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23944";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23945";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23946";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23948";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"23951";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24304";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24309";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"24313";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
